repo,stars,forks,pull_requests,pScore,pScore_normalized,popular,s_num_nodes,s_weighted_mean_degree,s_num_component,s_avg_clustering_coef,s_largest_component,s_graph_density,t_num_dev_nodes,t_num_file_nodes,t_num_dev_per_file,t_num_file_per_dev,t_graph_density,proj_name,month,st_num_dev,t_net_overlap,s_net_overlap
wave,217,98,27,1044,0.0126207371767749,1,15,8.533333333333333,1,0.4990476190476191,15,0.219047619047619,0,0,0.0,0.0,0.0,wave,68,0,0.0,0.0
wave,217,98,27,1044,0.0126207371767749,1,23,7.6521739130434785,1,0.2760587238848108,23,0.1422924901185771,4,102,1.0784313725490196,27.5,0.2696078431372549,wave,69,2,0.0,0.0677966101694915
wave,217,98,27,1044,0.0126207371767749,1,14,7.142857142857143,3,0.4510204081632653,10,0.1978021978021978,2,21,1.238095238095238,13.0,0.6190476190476191,wave,70,2,0.0073529411764705,0.0925925925925925
wave,217,98,27,1044,0.0126207371767749,1,9,13.77777777777778,1,0.1888888888888888,9,0.3333333333333333,0,0,0.0,0.0,0.0,wave,71,0,0.0,0.2
wave,217,98,27,1044,0.0126207371767749,1,10,12.0,1,0.1233333333333333,10,0.2666666666666666,0,0,0.0,0.0,0.0,wave,72,0,0.0,0.25
wave,217,98,27,1044,0.0126207371767749,1,7,6.285714285714286,1,0.1904761904761904,7,0.3333333333333333,0,0,0.0,0.0,0.0,wave,73,0,0.0,0.0526315789473684
wave,217,98,27,1044,0.0126207371767749,1,7,5.714285714285714,1,0.238095238095238,7,0.3333333333333333,2,78,1.1538461538461535,45.0,0.5769230769230769,wave,74,2,0.0,0.0714285714285714
wave,217,98,27,1044,0.0126207371767749,1,6,12.666666666666666,1,0.4166666666666667,6,0.6,0,0,0.0,0.0,0.0,wave,75,0,0.0,0.25
wave,217,98,27,1044,0.0126207371767749,1,9,10.666666666666666,2,0.5740740740740741,6,0.2777777777777778,0,0,0.0,0.0,0.0,wave,76,0,0.0,0.1052631578947368
wave,217,98,27,1044,0.0126207371767749,1,8,3.5,3,0.0,4,0.1785714285714285,0,0,0.0,0.0,0.0,wave,77,0,0.0,0.0666666666666666
wave,217,98,27,1044,0.0126207371767749,1,5,3.2,2,0.0,3,0.3,0,0,0.0,0.0,0.0,wave,78,0,0.0,0.125
wave,217,98,27,1044,0.0126207371767749,1,7,6.285714285714286,2,0.0,5,0.238095238095238,0,0,0.0,0.0,0.0,wave,79,0,0.0,0.0
wave,217,98,27,1044,0.0126207371767749,1,2,2.0,1,0.0,2,1.0,0,0,0.0,0.0,0.0,wave,80,0,0.0,0.0
wave,217,98,27,1044,0.0126207371767749,1,4,4.0,1,0.0,4,0.5,0,0,0.0,0.0,0.0,wave,81,0,0.0,0.0
wave,217,98,27,1044,0.0126207371767749,1,2,2.0,1,0.0,2,1.0,0,0,0.0,0.0,0.0,wave,82,0,0.0,0.0
wave,217,98,27,1044,0.0126207371767749,1,7,9.714285714285714,1,0.4095238095238094,7,0.4761904761904761,0,0,0.0,0.0,0.0,wave,83,0,0.0,0.0
wave,217,98,27,1044,0.0126207371767749,1,6,2.6666666666666665,2,0.0,3,0.2666666666666666,0,0,0.0,0.0,0.0,wave,84,0,0.0,0.0
manifoldcf,77,64,30,1041,0.0125844706906347,1,6,11.333333333333334,1,0.0,6,0.3333333333333333,2,1,2.0,1.0,1.0,manifoldcf,0,0,0.0,0.0
manifoldcf,77,64,30,1041,0.0125844706906347,1,16,16.5,2,0.2470238095238095,12,0.15,2,95,1.0,47.5,0.5,manifoldcf,1,2,0.0,0.1739130434782608
manifoldcf,77,64,30,1041,0.0125844706906347,1,13,12.307692307692308,2,0.1355311355311355,10,0.1666666666666666,1,90,1.0,90.0,1.0,manifoldcf,2,1,0.1243243243243243,0.0967741935483871
